step,source_ce,coral_loss,global_mmd2,adversarial_loss,weighted_coral,weighted_global_mmd2,weighted_adversarial,total_loss,target_batch_size,target_label_object_present,target_ce_status,class_conditional_coral_status,class_mmd_status,stage_mmd_status,target_proto_anchor_status,pseudo_label_status
75,0.014479774981737137,3.829526576737408e-06,0.03898787498474121,-0.050030045211315155,1.914763288368704e-06,0.019493937492370605,-0.025015022605657578,0.008960604667663574,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
76,0.0046659731306135654,1.0788631698233075e-05,0.14977025985717773,0.061057448387145996,5.394315849116538e-06,0.07488512992858887,0.030528724193572998,0.11008521914482117,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
77,0.07152970135211945,3.1482854865316767e-06,0.05946755409240723,0.037681695073843,1.5741427432658384e-06,0.029733777046203613,0.0188408475369215,0.12010589987039566,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
78,0.006064386572688818,7.1791987465985585e-06,0.04225575923919678,0.1110440343618393,3.5895993732992793e-06,0.02112787961959839,0.05552201718091965,0.08271787315607071,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
79,0.008319486863911152,5.506988145498326e-06,0.0686800479888916,-0.023310072720050812,2.753494072749163e-06,0.0343400239944458,-0.011655036360025406,0.031007226556539536,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
80,0.31678274273872375,5.147278443473624e-06,0.04278421401977539,-0.00090032909065485,2.573639221736812e-06,0.021392107009887695,-0.000450164545327425,0.33772724866867065,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
81,0.0052494159899652,1.1879857083840761e-05,0.0845801830291748,0.1754477620124817,5.939928541920381e-06,0.0422900915145874,0.08772388100624084,0.13526932895183563,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
82,0.01633511856198311,3.6642045415646862e-06,0.049632251262664795,0.014722868800163269,1.8321022707823431e-06,0.024816125631332397,0.0073614344000816345,0.048514511436223984,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
83,0.0061088548973202705,4.6272421059256885e-06,0.07910144329071045,0.08488491177558899,2.3136210529628443e-06,0.039550721645355225,0.042442455887794495,0.08810434490442276,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
84,0.008656801655888557,3.4381105251668487e-06,0.028600871562957764,0.04678024724125862,1.7190552625834243e-06,0.014300435781478882,0.02339012362062931,0.04634907841682434,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
85,0.005669474136084318,3.817099695879733e-06,0.026501178741455078,0.10122478753328323,1.9085498479398666e-06,0.013250589370727539,0.05061239376664162,0.06953436136245728,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
86,0.009399691596627235,3.620960342232138e-06,0.03643161058425903,-0.02768903598189354,1.810480171116069e-06,0.018215805292129517,-0.01384451799094677,0.013772789388895035,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
87,0.0041906386613845825,4.366879238659749e-06,0.03261864185333252,0.11412247270345688,2.1834396193298744e-06,0.01630932092666626,0.05706123635172844,0.07756337523460388,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
88,0.010455694049596786,3.6086707950744312e-06,0.0388219952583313,0.0075452253222465515,1.8043353975372156e-06,0.01941099762916565,0.0037726126611232758,0.03364110738039017,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
89,0.009778530336916447,2.664906332938699e-06,0.03227752447128296,-0.035363733768463135,1.3324531664693495e-06,0.01613876223564148,-0.017681866884231567,0.008236758410930634,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
90,0.00714252470061183,4.0776963032840285e-06,0.07318001985549927,-0.05867619067430496,2.0388481516420143e-06,0.036590009927749634,-0.02933809533715248,0.014396477490663528,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
91,0.038851767778396606,2.364647571084788e-06,0.02602064609527588,0.00534743070602417,1.182323785542394e-06,0.01301032304763794,0.002673715353012085,0.05453698709607124,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
92,0.006280886009335518,2.725940248637926e-06,0.03488820791244507,0.035206541419029236,1.362970124318963e-06,0.017444103956222534,0.017603270709514618,0.04132962226867676,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
93,0.0070459190756082535,4.0091176742862444e-06,0.044324517250061035,-0.02003847062587738,2.0045588371431222e-06,0.022162258625030518,-0.01001923531293869,0.019190946593880653,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
94,0.15233372151851654,3.424931037443457e-06,0.04148179292678833,-0.012092068791389465,1.7124655187217286e-06,0.020740896463394165,-0.006046034395694733,0.16703030467033386,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
95,0.12443465739488602,6.199787549121538e-06,0.09917199611663818,-0.07565157115459442,3.099893774560769e-06,0.04958599805831909,-0.03782578557729721,0.13619795441627502,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
96,0.025038784369826317,2.937627186838654e-06,0.07579511404037476,0.06480495631694794,1.468813593419327e-06,0.03789755702018738,0.03240247815847397,0.0953402891755104,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
97,0.004718874115496874,2.1188748178246897e-06,0.030988097190856934,-0.03705374151468277,1.0594374089123448e-06,0.015494048595428467,-0.018526870757341385,0.0016871113330125809,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
98,0.00449381722137332,2.946043423435185e-06,0.03599750995635986,0.041088126599788666,1.4730217117175926e-06,0.01799875497817993,0.020544063299894333,0.043038107454776764,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
99,0.005392729304730892,3.3479109333711676e-06,0.04476010799407959,0.023255549371242523,1.6739554666855838e-06,0.022380053997039795,0.011627774685621262,0.03940223157405853,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
100,0.005873007234185934,3.176628752044053e-06,0.04313015937805176,0.06717023253440857,1.5883143760220264e-06,0.02156507968902588,0.033585116267204285,0.06102479249238968,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
101,0.004759314935654402,6.859448603790952e-06,0.0410923957824707,0.0667349323630333,3.429724301895476e-06,0.02054619789123535,0.03336746618151665,0.05867640674114227,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
102,0.008848913945257664,3.6087690205022227e-06,0.03490138053894043,0.028495565056800842,1.8043845102511114e-06,0.017450690269470215,0.014247782528400421,0.04054918885231018,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
103,0.006347197107970715,3.861679942929186e-06,0.03823667764663696,0.06010826677083969,1.930839971464593e-06,0.01911833882331848,0.030054133385419846,0.05552159994840622,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
104,0.008617447689175606,4.737083145300858e-06,0.07711666822433472,0.0887490063905716,2.368541572650429e-06,0.03855833411216736,0.0443745031952858,0.09155265241861343,32,False,UNAVAILABLE,DISABLED,DISABLED,DISABLED,UNAVAILABLE,DISABLED
