client,class_id,gas,train_N,val_N,best_alpha,best_val_RMSE,alpha_audit,model,fit_N,calib_ratio,best_hidden,selected_mode,coaware_selected_mode,hybrid_selected_mode,passes_constraints,baseline_ALL_RMSE,ridge_ALL_RMSE,delta_ALL_RMSE,baseline_CO_RMSE,ridge_CO_RMSE,delta_CO_RMSE,baseline_nonCO_RMSE,ridge_nonCO_RMSE,delta_nonCO_RMSE,coaware_score,max_nonco_delta,mlp_ALL_RMSE,mlp_CO_RMSE,mlp_nonCO_RMSE
C5,3,Methane,30,10,0.1,8.187653811957581,"[{""alpha"": 0.0, ""val_RMSE"": 14.746209492909653}, {""alpha"": 0.01, ""val_RMSE"": 12.046671375002218}, {""alpha"": 0.1, ""val_RMSE"": 8.187653811957581}, {""alpha"": 1.0, ""val_RMSE"": 11.033077055333557}, {""alpha"": 10.0, ""val_RMSE"": 17.79644872689815}, {""alpha"": 100.0, ""val_RMSE"": 34.42481869286346}, {""alpha"": 1000.0, ""val_RMSE"": 58.82008897462893}]",ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C3,0,Ethanol,60,20,0.01,6.05859021775977,,mlp,80,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C3,1,CO,60,20,0.001,20.081039313488866,,mlp,80,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C3,2,Ethylene,60,20,0.01,13.019033921675044,,mlp,80,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C3,3,Methane,60,20,0.01,18.745342204398927,,mlp,80,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,0,Ethanol,30,10,0.01,9.05198314145119,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,1,CO,30,10,0.01,42.813526004600824,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,2,Ethylene,30,10,0.01,6.409805359501715,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C4,3,Methane,30,10,0.001,24.630242026949617,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,0,Ethanol,30,10,0.01,7.352198326125182,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,1,CO,30,10,0.01,25.22494547750122,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,2,Ethylene,30,10,0.01,10.894085761349416,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,3,Methane,30,10,0.001,19.34163327331243,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,0,Ethanol,30,10,1.0,4.070220177239035,,mlp,40,10.0,"(16,)",,,,,,,,,,,,,,,,,,
C5,1,CO,30,10,1.0,16.61835623575491,,mlp,40,10.0,"(32,)",,,,,,,,,,,,,,,,,,
C5,2,Ethylene,30,10,1.0,2.8208195912620977,,mlp,40,10.0,"(16,)",,,,,,,,,,,,,,,,,,
C5,3,Methane,30,10,1.0,16.562056487799293,,mlp,40,10.0,"(64,)",,,,,,,,,,,,,,,,,,
C3,0,Ethanol,60,20,1.0,3.5695414290631575,,source_aug_target_ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C3,1,CO,60,20,1.0,12.314926458739846,,source_aug_target_ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C3,2,Ethylene,60,20,10.0,7.85870050247201,,source_aug_target_ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C3,3,Methane,60,20,0.0,5.555243862723771,,source_aug_target_ridge,80,10.0,,,,,,,,,,,,,,,,,,,
C4,0,Ethanol,30,10,0.01,6.2937936801518575,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C4,1,CO,30,10,0.0,26.296077129643226,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C4,2,Ethylene,30,10,0.0,1.86834424685841,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C4,3,Methane,30,10,10.0,14.682869283054613,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,0,Ethanol,30,10,10.0,4.367444444064061,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,1,CO,30,10,100.0,22.107077148061812,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,2,Ethylene,30,10,10.0,2.1751224565204486,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C5,3,Methane,30,10,0.1,11.757518166906472,,source_aug_target_ridge,40,10.0,,,,,,,,,,,,,,,,,,,
C3,,,,,,,,ridge,,10.0,,ridge_direct,ridge_direct,ridge_direct,1,9.163688378977527,4.6125798173650185,-4.551108561612509,11.628195465397134,8.233221111523545,-3.3949743538735895,8.178789825855427,2.402612495806419,-5.776177330049007,-3.3949743538735895,1.0,,,
C4,,,,,,,,ridge,,10.0,,ridge_direct,ridge_direct,ridge_direct,1,12.088407079409551,5.60238627456771,-6.486020804841841,13.712474834012385,8.107323990547512,-5.605150843464873,11.496178738993416,4.465356484095137,-7.030822254898279,-5.605150843464873,1.0,,,
C5,,,,,,,,ridge,,10.0,,baseline_final,ridge_direct,ridge_direct,0,27.238859301044503,34.64366771338224,7.40480841233774,36.1411072835091,16.435686863292993,-19.705420420216107,23.534670795872486,38.861304866892766,15.32663407102028,-15.873761902461037,1.0,,,
C3,,,,,,,,mlp,,10.0,,mlp_direct,mlp_direct,mlp_direct,1,9.163688378977527,,-9.158603367537033,11.628195465397134,,-11.628086703329862,8.178789825855427,,-8.172918496187382,-11.628086703329862,1.0,0.005085011440494499,0.00010876206727283024,0.005871329668044036
C4,,,,,,,,mlp,,10.0,,mlp_direct,mlp_direct,mlp_direct,1,12.088407079409551,,-12.086025048339218,13.712474834012385,,-13.710284271807694,11.496178738993416,,-11.493736218075217,-13.710284271807694,1.0,0.002382031070333441,0.0021905622046909366,0.00244252091819873
C5,,,,,,,,mlp,,10.0,,baseline_final,mlp_direct,mlp_direct,0,27.238859301044503,,-1.5712489682627329,36.1411072835091,,-36.140417973726414,23.534670795872486,,6.103732671627547,-34.61448480581953,1.0,25.66761033278177,0.0006893097826826812,29.638403467500034
C5,,,,,,,,mlp,,10.0,,baseline_final,mlp_direct,mlp_direct,0,27.238859301044503,,-1.6225204939508124,36.1411072835091,,-36.12145172395604,23.534670795872486,,6.044527239110565,-34.610319914178405,1.0,25.61633880709369,0.019655559553057384,29.57919803498305
C3,0,Ethanol,30,10,10.0,7.497953812300556,"[{""alpha"": 0.0, ""val_RMSE"": 12.748283694880671}, {""alpha"": 0.01, ""val_RMSE"": 12.515527130905403}, {""alpha"": 0.1, ""val_RMSE"": 10.962345047812297}, {""alpha"": 1.0, ""val_RMSE"": 7.994020827440934}, {""alpha"": 10.0, ""val_RMSE"": 7.497953812300556}, {""alpha"": 100.0, ""val_RMSE"": 10.791460870823308}, {""alpha"": 1000.0, ""val_RMSE"": 24.364629070987533}]",ridge,40,5.0,,,,,,,,,,,,,,,,,,,
