mode,split,scope,pred_key,N,RMSE,MAE,NRMSE,Bias,P90AE,calib_ratio,calibration_subset_fraction_of_20pct
H8_plus_C4_forced_lowcal,test,C5-CO_mid_125_175,h8_lowcal_plus_c4_ppm,102,25.393839394222695,17.449419534536222,0.11286150841876752,5.235187527552432,34.7482082775104,20.0,1.0
H8_plus_C4_forced_lowcal,test,C5-CO_high_200_250,h8_lowcal_plus_c4_ppm,102,27.55204539002566,14.754573824627624,0.12245353506678074,-5.601220336184395,28.055158644271877,20.0,1.0
H8_plus_C4_forced_lowcal,test,C5-nonCO,h8_lowcal_plus_c4_ppm,1020,28.55310112863896,7.871962581029811,0.24150279898515578,3.077896668258049,11.171945637561798,20.0,1.0
H8_plus_C4_forced_lowcal,test,nonCO_ALL,h8_lowcal_plus_c4_ppm,4050,17.494787802434324,5.554133080156617,0.1468810705125339,0.8593050659213973,10.419861045291889,20.0,1.0
H8_C4_selector_lowcal,test,ALL,selector_lowcal_ppm,5400,18.862703932737865,7.313827653184856,0.13472805627550546,0.09359343936024637,15.473890716691065,20.0,1.0
H8_C4_selector_lowcal,test,C3,selector_lowcal_ppm,2680,13.931208897528979,5.971610507693037,0.10225659547588987,0.10575977503497747,12.9432563317122,20.0,1.0
H8_C4_selector_lowcal,test,C3-CO,selector_lowcal_ppm,670,16.13321005985081,9.197076694743657,0.07170315582155914,-1.8323261636100392,19.190106811317566,20.0,1.0
H8_C4_selector_lowcal,test,C3-CO_low_25_100,selector_lowcal_ppm,268,9.570960417782967,6.164214061097436,0.042537601856813184,0.39395954374196146,14.231940851233595,20.0,1.0
H8_C4_selector_lowcal,test,C3-CO_mid_125_175,selector_lowcal_ppm,201,18.610187873847348,10.705727507788158,0.08271194610598823,-0.42333152331983975,19.64802567084351,20.0,1.0
H8_C4_selector_lowcal,test,C3-CO_high_200_250,selector_lowcal_ppm,201,19.978106825372247,11.732242726560788,0.08879158589054333,-6.209701747036239,28.946078454249886,20.0,1.0
H8_C4_selector_lowcal,test,C3-nonCO,selector_lowcal_ppm,2010,13.115307323265323,4.8964551120094955,0.11058074383078387,0.7517884212499831,10.140472291151141,20.0,1.0
H8_C4_selector_lowcal,test,C4,selector_lowcal_ppm,1360,14.745254508548513,6.244635283056863,0.07584061786804785,-0.16810559138847897,14.158768706436703,20.0,1.0
H8_C4_selector_lowcal,test,C4-CO,selector_lowcal_ppm,340,26.293349347070777,11.807676046068567,0.1168593304314257,-0.12306234017409197,24.0041823642337,20.0,1.0
