requested_coverage,coverage,N,RMSE,NRMSE_range,MAE,max_accepted_risk,scope
0.58,0.5794117647058824,788,14.122508923106238,0.06440148124308072,5.11278546090265,0.6333333333333333,C4
0.59,0.5897058823529412,802,14.008636270364088,0.06391742722137289,5.069906138630807,0.6432501169517177,C4
0.6,0.6,816,13.928397900186566,0.06358122582091487,5.066377084443043,0.6518750485702633,C4
0.61,0.6095588235294118,829,13.869355667559821,0.06342111170428914,5.093016980908439,0.6584239831648703,C4
0.62,0.6198529411764706,843,13.768806880802279,0.06296632799482223,5.0713729607809075,0.6639991125066206,C4
0.63,0.6294117647058823,856,13.885063271533665,0.0656728612066911,5.165670492795144,0.6705806227857859,C4
0.64,0.6397058823529411,870,13.837290983337518,0.06542240717444885,5.161779015565321,0.6756835128104037,C4
0.65,0.65,884,13.812792248215205,0.06528138265836729,5.212471035459989,0.6802061433781978,C4
0.66,0.6595588235294118,897,13.770212121597801,0.06505200284963271,5.246921510016766,0.6884667023231673,C4
0.67,0.6698529411764705,911,13.880165065659522,0.06546845012831196,5.335547592536917,0.6974922052212316,C4
0.68,0.6794117647058824,924,13.830342977921124,0.06523560252596126,5.353659693995578,0.7055096483394658,C4
0.69,0.6897058823529412,938,13.770019511463394,0.06493094150039953,5.365327345321932,0.712346449874382,C4
0.7,0.6992647058823529,951,13.701714266830612,0.06461407799639814,5.346624103451399,0.7208324961075446,C4
0.71,0.7095588235294118,965,13.727374258664968,0.06467946791459943,5.389578476629477,0.7276252140573923,C4
0.72,0.7198529411764706,979,13.682107729225521,0.06450191767162737,5.411474978872326,0.7361863763070401,C4
0.73,0.7294117647058823,992,13.74678605634771,0.06473582896142667,5.507031030600279,0.7431550885967054,C4
0.74,0.7397058823529412,1006,13.689178581030419,0.06447279373593416,5.501017705047434,0.7505395575653763,C4
0.75,0.75,1020,13.722292659879658,0.06459885631074522,5.572397425287347,0.7594516592803063,C4
0.76,0.7595588235294117,1033,13.6869055272223,0.0644284797011606,5.599094704261409,0.765707134471076,C4
0.77,0.7698529411764706,1047,13.619511038936029,0.06412499959792083,5.597578143668678,0.7714920165600742,C4
0.78,0.7794117647058824,1060,13.594020045451074,0.06402245822940636,5.631649239943513,0.7800193990603438,C4
0.79,0.7897058823529411,1074,13.561386621292744,0.06392206624626832,5.658057141584496,0.7896135801414333,C4
0.8,0.8,1088,13.512221403342817,0.0637188115681823,5.6648003623564005,0.8017321005151481,C4
0.81,0.8095588235294118,1101,13.60217727845319,0.06409055669240347,5.776323349966786,0.8106725736458739,C4
0.82,0.8198529411764706,1115,13.543574168975002,0.06384896144392091,5.776847016599103,0.818591902031423,C4
0.83,0.8294117647058824,1128,13.481342012028767,0.0635630753794184,5.767860043993921,0.8275177651986062,C4
0.84,0.8397058823529412,1142,13.427158005606723,0.06336128497400818,5.76782159812535,0.8370905943344877,C4
0.85,0.85,1156,13.399655119658476,0.06328278215349274,5.785134283802835,0.8450176206679082,C4
0.86,0.8595588235294118,1169,13.335498869662686,0.06303472514370108,5.765624357082486,0.8539249504517571,C4
0.87,0.8698529411764706,1183,13.360348230290501,0.06311806137680963,5.810984789897018,0.8658328214495148,C4
0.88,0.8794117647058823,1196,13.411824584413171,0.06330534793811127,5.86981326248072,0.877150387481851,C4
