candidate,scope,final_n,final_rmse,final_mae,final_nrmse_range,final_p90ae,final_p95ae,final_bias,final_route_acc,raw_n,raw_rmse,raw_mae,raw_nrmse_range,raw_p90ae,raw_p95ae,raw_bias,raw_route_acc
M4_T9fix_shared_trunk,C3_CO,170,36.86520973669069,22.933792481825748,0.16384537660751416,49.37046389493647,70.59693294422219,-3.210751053134985,0.9882352941176471,170,40.47723772181476,28.621059393181522,0.17989883431917672,60.36751667037604,88.00353704020375,-7.10642712574233,0.9882352941176471
M4_T9fix_shared_trunk,C3_CO_high,51,47.73118349632078,28.383649075615423,0.21213859331698126,51.71093144761221,71.32786768348168,-25.838456591436046,1.0,51,44.878380805251716,31.14917915241391,0.1994594702455632,54.672832787036896,62.43446320295334,-18.551614179330713,1.0
M4_T9fix_shared_trunk,C3_nonCO,510,21.357920036030944,14.718370856108523,0.16347244733921681,28.707846999168396,37.489364056565016,-4.85615195703377,0.9882352941176471,510,24.596052572108547,16.441719319269644,0.19616492396397947,34.785727262496955,50.0,-0.8316848832456503,0.9882352941176471
M4_T9fix_shared_trunk,C4_ALL,320,22.045299398960772,15.857679392985869,0.1449947795217784,32.138577000670594,41.72690681886584,-4.814320040703055,0.996875,320,24.420083187980367,16.945950149020064,0.1724590447717267,36.845818087458625,51.64409223943951,0.09844291031186048,0.996875
M4_T9fix_shared_trunk,C4_CO,80,22.1938141047711,17.533256269525737,0.09863917379898265,34.73525121808054,45.02410229295491,-3.0208757682703435,1.0,80,22.1938141047711,17.533256269525737,0.09863917379898265,34.73525121808054,45.02410229295491,-3.0208757682703435,1.0
M4_T9fix_shared_trunk,C4_CO_high,24,26.47704474311544,20.27248616019885,0.11767575441384638,36.30023628473281,54.02388595044609,-9.789927303791044,1.0,24,26.47704474311544,20.27248616019885,0.11767575441384638,36.30023628473281,54.02388595044609,-9.789927303791044,1.0
M4_T9fix_shared_trunk,C4_nonCO,240,21.99557165917831,15.29915376747258,0.15744232567994607,31.41545700165236,41.690872292917774,-5.412134798180625,0.9958333333333333,240,25.118362918486472,16.75018144218484,0.19082173346394954,37.442675307393074,53.69728658348322,1.138215803172595,0.9958333333333333
M4_T9fix_shared_trunk,C5_ALL,320,43.170099648963266,25.794566450747368,0.2533937746489631,52.64037639379504,87.27625811209279,6.293509608028401,0.953125,320,46.10022769319813,30.617260105464084,0.27802962772004747,58.1230535358191,85.32713949680333,2.2249336023742217,0.953125
M4_T9fix_shared_trunk,C5_CO,80,63.083387731311106,45.215263826206794,0.2803706121391605,96.30688965320587,121.13171085715285,14.889872045356316,0.9125,80,62.87178783019644,45.15257988736266,0.2794301681342064,95.89866384863853,120.9832453913986,14.952555984200444,0.9125
M4_T9fix_shared_trunk,C5_CO_high,24,63.47579268486998,36.053620979220916,0.28211463415497773,50.05888983607292,156.41050361096833,-21.321873446336635,0.9166666666666666,24,63.35661070972888,35.92440930660814,0.28158493648768396,50.05888983607292,148.54303123895053,-21.19266177372386,0.9166666666666666
M4_T9fix_shared_trunk,C5_nonCO,240,34.03486549185869,19.321000658927563,0.24373889032604162,35.13444977204006,42.818754131793945,3.4280554622524293,0.9666666666666667,240,38.93611121009052,25.77215351149789,0.2775612104846315,50.76199170202017,57.842356562614405,-2.0176071915678526,0.9666666666666667
M5_T10afix_ratio_dct,ALL,1320,26.55736063852082,15.416550422000764,0.16260382123223902,32.68648833036428,45.92716276645659,1.438922290610281,0.9818181818181818,1320,26.677406794807627,15.560240257658403,0.16299152533310204,34.04713481664661,46.66262058541179,2.0276709979004934,0.9818181818181818
M5_T10afix_ratio_dct,CO,330,36.39126157941191,24.398271285321073,0.16173894035294184,51.73167601227762,67.41494923830035,-1.5354599359887409,0.9727272727272728,330,36.0224644802795,24.287140714286856,0.16009984213457557,51.73167601227762,67.41494923830035,-1.4243293649545212,0.9727272727272728
M5_T10afix_ratio_dct,CO_high,99,44.44726337713589,29.154540617558286,0.19754339278727062,54.197325408458696,78.72248187661162,-22.602945178947863,0.9797979797979798,99,44.04193493801455,29.046161751253436,0.19574193305784243,54.197325408458696,78.72248187661162,-22.494566312643013,0.9797979797979798
M5_T10afix_ratio_dct,nonCO,990,22.337186461120822,12.422643467560661,0.16289109438600513,27.522511497388287,34.737522136420004,2.430383032809955,0.9848484848484849,990,22.723836134109597,12.651273438782253,0.16394408586479411,28.917605504393578,36.71728804707525,3.1783377855188317,0.9848484848484849
M5_T10afix_ratio_dct,C3_ALL,680,21.945953539884723,13.79226875025779,0.1402943646338787,31.500240415334716,42.423280477523775,1.5881538229501426,0.9882352941176471,680,21.945953539884723,13.79226875025779,0.1402943646338787,31.500240415334716,42.423280477523775,1.5881538229501426,0.9882352941176471
M5_T10afix_ratio_dct,C3_CO,170,29.30037266870256,20.249194424489843,0.13022387852756698,43.17496329545973,54.572914652526336,-4.149146324900142,0.9882352941176471,170,29.30037266870256,20.249194424489843,0.13022387852756698,43.17496329545973,54.572914652526336,-4.149146324900142,0.9882352941176471
M5_T10afix_ratio_dct,C3_CO_high,51,36.75739993284551,24.843509539085275,0.1633662219237578,50.29451698064801,54.9673594534397,-21.08547455247711,1.0,51,36.75739993284551,24.843509539085275,0.1633662219237578,50.29451698064801,54.9673594534397,-21.08547455247711,1.0
M5_T10afix_ratio_dct,C3_nonCO,510,18.867853336422627,11.639960192180439,0.14349422340676565,25.596678927540808,34.89348594099276,3.5005872055669043,0.9882352941176471,510,18.867853336422627,11.639960192180439,0.14349422340676565,25.596678927540808,34.89348594099276,3.5005872055669043,0.9882352941176471
M5_T10afix_ratio_dct,C4_ALL,320,20.737717801314446,13.921476985779009,0.1122366736523383,29.85931724309922,39.19353649020196,3.2062696647335542,0.996875,320,20.737717801314446,13.921476985779009,0.1122366736523383,29.85931724309922,39.19353649020196,3.2062696647335542,0.996875
M5_T10afix_ratio_dct,C4_CO,80,30.508972807790975,24.288897740188986,0.13559543470129323,50.8788099884987,60.79025313258169,14.75929785752669,1.0,80,30.508972807790975,24.288897740188986,0.13559543470129323,50.8788099884987,60.79025313258169,14.75929785752669,1.0
M5_T10afix_ratio_dct,C4_CO_high,24,23.153445370612893,19.11258045583963,0.10290420164716843,37.119229435920694,47.24939689040181,-7.421301491558548,1.0,24,23.153445370612893,19.11258045583963,0.10290420164716843,37.119229435920694,47.24939689040181,-7.421301491558548,1.0
M5_T10afix_ratio_dct,C4_nonCO,240,16.221532363305336,10.46567006764235,0.10328304433018567,22.828992307186127,29.34772262349724,-0.6447397328641575,0.9958333333333333,240,16.221532363305336,10.46567006764235,0.10328304433018567,22.828992307186127,29.34772262349724,-0.6447397328641575,0.9958333333333333
M5_T10afix_ratio_dct,C5_ALL,320,38.1553336913074,20.36322241067634,0.2337575860803829,39.026062373320265,62.912317365408036,-0.6455420897351974,0.953125,320,38.499231610399576,20.9559429827641,0.23486874416544765,41.981543600559256,62.912317365408036,1.783046327836928,0.953125
M5_T10afix_ratio_dct,C5_CO,80,52.035575221482226,33.32443315971953,0.23126922320658766,92.61020973324783,105.008879985536,-12.276134153067446,0.9125,80,50.966056877928835,32.866019554203376,0.2265158083463504,91.13388944417238,104.472404597327,-11.81772054755129,0.9125
M5_T10afix_ratio_dct,C5_CO_high,24,68.86217068301254,48.3574418210321,0.30605409192450017,99.62167248129842,160.657436728229,-41.00921394758755,0.9166666666666666,24,67.77939508485315,47.91037899752458,0.30124175593268065,99.62167248129842,151.53735512867559,-40.562151124080025,0.9166666666666666
