source_round,method,accuracy,macro_f1,nll,ece,num_examples,per_class_recall,checkpoint_sha256,commissioning_steps,commissioning_lr,commissioning_time_seconds,target_label_access,selection_role
4,simple_target_ce,0.9610294117647059,0.9611187951247333,0.25557911553803614,0.16924859964672256,1360,"{""0"": 0.9794117647058823, ""1"": 1.0, ""2"": 0.9647058823529412, ""3"": 0.9}",e7cee1141cdd0062adc02cfe0ed160c8b19ecbcaca4ec676e805f85e5ad4e2b1,100,0.0005,3.1226090000018303,C5_calibration_320_labels,post_hoc_diagnostic_only
4,full_target_adapter,0.9161764705882353,0.9173535448221858,0.3849329965956071,0.11301079892060333,1360,"{""0"": 0.8852941176470588, ""1"": 0.9676470588235294, ""2"": 0.8705882352941177, ""3"": 0.9411764705882353}",e7cee1141cdd0062adc02cfe0ed160c8b19ecbcaca4ec676e805f85e5ad4e2b1,100,0.0005,44.47076930000185,C5_calibration_320_labels,post_hoc_diagnostic_only
5,source_only,0.3514705882352941,0.2950602283984941,1.7461502439835492,0.430115093575681,1360,"{""0"": 0.27058823529411763, ""1"": 0.041176470588235294, ""2"": 0.1264705882352941, ""3"": 0.9676470588235294}",199cf98ce5277c8ffde60b88bf56ba65be62a2acc7683ef17a8fd02db22d912f,0,0.0,0.3308821999999054,none,post_hoc_diagnostic_only
5,simple_target_ce,0.9764705882352941,0.9764838949293868,0.20799027804066153,0.12849195779246445,1360,"{""0"": 0.9852941176470589, ""1"": 0.9735294117647059, ""2"": 0.9647058823529412, ""3"": 0.9823529411764705}",199cf98ce5277c8ffde60b88bf56ba65be62a2acc7683ef17a8fd02db22d912f,100,0.0005,2.8654864999989513,C5_calibration_320_labels,post_hoc_diagnostic_only
5,full_target_adapter,0.9110294117647059,0.9121377103575495,0.3648942915832295,0.08113687608171916,1360,"{""0"": 0.8823529411764706, ""1"": 0.9235294117647059, ""2"": 0.8941176470588236, ""3"": 0.9441176470588235}",199cf98ce5277c8ffde60b88bf56ba65be62a2acc7683ef17a8fd02db22d912f,100,0.0005,47.734003999998095,C5_calibration_320_labels,post_hoc_diagnostic_only
6,source_only,0.3352941176470588,0.2715033766595064,1.9277936935424804,0.49257392694844926,1360,"{""0"": 0.2411764705882353, ""1"": 0.01764705882352941, ""2"": 0.10882352941176471, ""3"": 0.9735294117647059}",aafc090e8d8c38235495e78fb4b6ef8b9beac57946466d0d6e3869dced55b0b7,0,0.0,0.35253979999833973,none,post_hoc_diagnostic_only
6,simple_target_ce,0.9816176470588235,0.9816769172478728,0.16617378908045152,0.10214843622901862,1360,"{""0"": 0.9794117647058823, ""1"": 0.9852941176470589, ""2"": 0.9676470588235294, ""3"": 0.9941176470588236}",aafc090e8d8c38235495e78fb4b6ef8b9beac57946466d0d6e3869dced55b0b7,100,0.0005,2.827536200002214,C5_calibration_320_labels,post_hoc_diagnostic_only
6,full_target_adapter,0.9316176470588236,0.9320184409737308,0.27310994004502015,0.0665765748523614,1360,"{""0"": 0.9176470588235294, ""1"": 0.9382352941176471, ""2"": 0.8735294117647059, ""3"": 0.9970588235294118}",aafc090e8d8c38235495e78fb4b6ef8b9beac57946466d0d6e3869dced55b0b7,100,0.0005,74.87237950000053,C5_calibration_320_labels,post_hoc_diagnostic_only
7,source_only,0.31470588235294117,0.24200149938262747,2.234296307844274,0.5753641493399354,1360,"{""0"": 0.17647058823529413, ""1"": 0.0058823529411764705, ""2"": 0.10294117647058823, ""3"": 0.9735294117647059}",73a2d285d05f52764abcb56b174337b3c34d0985c62f6489955cc0769aeb1cdd,0,0.0,0.3362845000010566,none,post_hoc_diagnostic_only
7,simple_target_ce,0.9683823529411765,0.9686432057384953,0.17496686569031547,0.0748728190055665,1360,"{""0"": 0.9823529411764705, ""1"": 0.9970588235294118, ""2"": 0.9588235294117647, ""3"": 0.9352941176470588}",73a2d285d05f52764abcb56b174337b3c34d0985c62f6489955cc0769aeb1cdd,100,0.0005,2.8067679000014323,C5_calibration_320_labels,post_hoc_diagnostic_only
7,full_target_adapter,0.9205882352941176,0.9220070998722188,0.3177847180296393,0.03791668213465629,1360,"{""0"": 0.8970588235294118, ""1"": 0.9705882352941176, ""2"": 0.8676470588235294, ""3"": 0.9470588235294117}",73a2d285d05f52764abcb56b174337b3c34d0985c62f6489955cc0769aeb1cdd,100,0.0005,48.937831400002324,C5_calibration_320_labels,post_hoc_diagnostic_only
8,source_only,0.35441176470588237,0.2808013164697928,2.167564192940207,0.5301995357169824,1360,"{""0"": 0.18529411764705883, ""1"": 0.0, ""2"": 0.2676470588235294, ""3"": 0.9647058823529412}",77cc21346efd74bbb8a30a52e5ddc3a21843a389b77df42a763923217ca3471c,0,0.0,0.32656710000082967,none,post_hoc_diagnostic_only
8,simple_target_ce,0.9632352941176471,0.9634219521057981,0.17736759685418185,0.05625741823631179,1360,"{""0"": 0.9794117647058823, ""1"": 0.9764705882352941, ""2"": 0.961764705882353, ""3"": 0.9352941176470588}",77cc21346efd74bbb8a30a52e5ddc3a21843a389b77df42a763923217ca3471c,100,0.0005,2.2917678999983764,C5_calibration_320_labels,post_hoc_diagnostic_only
8,full_target_adapter,0.9007352941176471,0.9012283074658533,0.3737661870086894,0.02206421251244403,1360,"{""0"": 0.9205882352941176, ""1"": 0.9205882352941176, ""2"": 0.8147058823529412, ""3"": 0.9470588235294117}",77cc21346efd74bbb8a30a52e5ddc3a21843a389b77df42a763923217ca3471c,100,0.0005,42.691844999997556,C5_calibration_320_labels,post_hoc_diagnostic_only
9,source_only,0.36176470588235293,0.2839925291471533,2.272661638259888,0.5392570074647665,1360,"{""0"": 0.16470588235294117, ""1"": 0.0, ""2"": 0.3176470588235294, ""3"": 0.9647058823529412}",244f26dc50b19b13eeefb650a181117f54334899c988fb5c6492c4a8923a1ee7,0,0.0,0.5939625999999407,none,post_hoc_diagnostic_only
9,simple_target_ce,0.9705882352941176,0.9707179949264181,0.14871596807942672,0.0433492154759519,1360,"{""0"": 0.9911764705882353, ""1"": 0.9735294117647059, ""2"": 0.9676470588235294, ""3"": 0.95}",244f26dc50b19b13eeefb650a181117f54334899c988fb5c6492c4a8923a1ee7,100,0.0005,3.1186187000021164,C5_calibration_320_labels,post_hoc_diagnostic_only
9,full_target_adapter,0.9154411764705882,0.9167067596607366,0.349253612055498,0.01615451125099376,1360,"{""0"": 0.8735294117647059, ""1"": 0.9764705882352941, ""2"": 0.8823529411764706, ""3"": 0.9294117647058824}",244f26dc50b19b13eeefb650a181117f54334899c988fb5c6492c4a8923a1ee7,100,0.0005,43.43924809999953,C5_calibration_320_labels,post_hoc_diagnostic_only
10,source_only,0.3573529411764706,0.2759640225332437,2.508929569580976,0.5695428483188152,1360,"{""0"": 0.1411764705882353, ""1"": 0.0, ""2"": 0.31470588235294117, ""3"": 0.9735294117647059}",ab57698df38ce6e4fd8a9f1a4c9fbd13443ec458f2406edc40dd7fba34b43e87,0,0.0,0.41296439999860013,none,post_hoc_diagnostic_only
10,simple_target_ce,0.9830882352941176,0.9831149962950826,0.09780684074058252,0.04519692297805762,1360,"{""0"": 0.9882352941176471, ""1"": 0.9941176470588236, ""2"": 0.9676470588235294, ""3"": 0.9823529411764705}",ab57698df38ce6e4fd8a9f1a4c9fbd13443ec458f2406edc40dd7fba34b43e87,100,0.0005,2.9881982000006246,C5_calibration_320_labels,post_hoc_diagnostic_only
10,full_target_adapter,0.9080882352941176,0.9090835746814944,0.36774436568512636,0.03306632885599843,1360,"{""0"": 0.8794117647058823, ""1"": 0.9529411764705882, ""2"": 0.8588235294117647, ""3"": 0.9411764705882353}",ab57698df38ce6e4fd8a9f1a4c9fbd13443ec458f2406edc40dd7fba34b43e87,100,0.0005,46.79258109999864,C5_calibration_320_labels,post_hoc_diagnostic_only
11,source_only,0.30661764705882355,0.21637848493224604,2.883108974905575,0.640495291812455,1360,"{""0"": 0.07647058823529412, ""1"": 0.0, ""2"": 0.17058823529411765, ""3"": 0.9794117647058823}",be10d966a413e4d73b49527fbc3d9fc41c4232b170773b4211e79705a586d177,0,0.0,0.5187877999996999,none,post_hoc_diagnostic_only
