experiment,scope,group_level,group_value,N,RMSE,MAE,Bias,R2,formal_RMSE_abs_difference
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,gas,Ethylene,340,7.935523470933956,4.612611631497094,-0.7030100735130312,0.9511485806485382,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:12.5,34,3.6068925309812805,1.7140117840217235,1.7140117840217235,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:25,34,4.501605587225602,2.8452315768086405,-1.0689756237572927,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:37.5,34,5.830167581996368,3.9950967399747603,-1.7057494932942112,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:50,34,4.209829851995988,3.146677552603584,0.4923180829827253,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:62.5,34,7.280225072527217,4.879683587212149,-0.563847275982437,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:75,34,5.031265154553653,3.5460648203840592,0.09476587602189777,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:87.5,34,16.872716955125355,10.969627567287185,4.225810064400914,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:100,34,4.618395430944663,3.257638507223756,-1.6794746411449812,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:112.5,34,10.218343618196966,6.639871907064881,-3.4067472359884485,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Ethylene:125,34,7.482624760173277,5.132212272390201,-5.132212272390201,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,gas,Methane,340,13.291480461587945,6.582871945431923,1.2900936259518354,0.9657379970209408,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:25,34,5.993437485679195,4.0200181312697225,4.0200181312697225,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:50,34,8.265059100678712,5.599630793004789,-1.9954452948771533,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:75,34,6.619837217856935,5.268010606505185,-0.2164757733850744,nan,
A_OLD_CKPT_OLD_DATA,ORACLE_ROUTE,concentration,Methane:100,34,13.849682957120615,6.074164342628458,3.857544849539995,nan,
