preprocessing,client,gas,true_ppm,N,Oracle_RMSE,MAE,Bias,R2
interp,C5,Ethanol,112.5,34,8.867878526489934,6.929859739426144,-6.742891344152698,nan
interp,C5,Ethanol,125.0,34,14.351187473391528,12.260043435288848,-12.260043435288848,nan
interp,C5,Ethylene,12.5,34,0.6978267247052101,0.2027732182211872,0.2027732182211872,nan
interp,C5,Ethylene,25.0,34,3.0161105841386817,2.256471691141847,1.4283401672108011,nan
interp,C5,Ethylene,37.5,34,2.9984813238710717,2.0251483203783125,1.4378810554696062,nan
interp,C5,Ethylene,50.0,34,4.278092976203539,3.4732591092640868,2.776180980654335,nan
interp,C5,Ethylene,62.5,34,9.158128631728287,4.210564285012625,1.97088327766018,nan
interp,C5,Ethylene,75.0,34,5.616332477278988,4.313919159473837,3.8400035673942976,nan
interp,C5,Ethylene,87.5,34,3.6377468616051187,2.7014996166217933,-0.7567226108904241,nan
interp,C5,Ethylene,100.0,34,4.89692714459376,3.3944497181546662,3.158820542188896,nan
interp,C5,Ethylene,112.5,34,5.0254767368599635,3.9203392634036285,-3.359043812585823,nan
interp,C5,Ethylene,125.0,34,2.1144798523937323,1.1804394750685507,-1.1804394750685507,nan
interp,C5,Methane,25.0,34,31.849642974045903,27.32235946923573,27.32235946923573,nan
interp,C5,Methane,50.0,34,27.524280601863993,23.947229206849798,21.931837718474807,nan
interp,C5,Methane,75.0,34,23.005328223847123,19.874388424537376,17.4020218274744,nan
interp,C5,Methane,100.0,34,17.11464875634781,14.7049049566047,13.204941911384497,nan
interp,C5,Methane,125.0,34,24.191528341525395,19.81625982428811,14.877609189563874,nan
interp,C5,Methane,150.0,34,13.616902161553028,10.509629333142323,8.462819295832833,nan
interp,C5,Methane,175.0,34,13.090118912783176,10.35554355753474,3.708585098274749,nan
interp,C5,Methane,200.0,34,25.642411123313387,20.68144576885129,-5.200295681145617,nan
interp,C5,Methane,225.0,34,92.58198522677465,66.65956010308075,-64.97724640244633,nan
interp,C5,Methane,250.0,34,38.22864350670441,33.050419819485235,-33.050419819485235,nan
legacy,C3,CO,25.0,67,5.424724625109826,3.181112250072734,3.181112250072734,nan
legacy,C3,CO,50.0,67,9.33680126590087,7.658743453957497,-0.80635984653832,nan
legacy,C3,CO,75.0,67,8.442828746737575,5.976249050009884,0.1261382381647696,nan
legacy,C3,CO,100.0,67,9.683725544330299,7.837343001923604,-0.0503687043587394,nan
legacy,C3,CO,125.0,67,14.679075469993498,11.65563407730479,8.012553243057761,nan
legacy,C3,CO,150.0,67,35.530232509424636,19.20524297555674,-0.34359225327355347,nan
legacy,C3,CO,175.0,67,19.05283290600731,13.435465330010535,0.7914791171135582,nan
legacy,C3,CO,200.0,67,19.98248813599635,13.835790661639987,-0.41951091643549865,nan
legacy,C3,CO,225.0,67,19.241816535713895,13.357427342742431,-9.938668985924734,nan
legacy,C3,CO,250.0,67,21.514195063689012,7.7171710488752145,-7.7171710488752145,nan
legacy,C3,Ethanol,12.5,67,0.8861622067195766,0.2605313743349694,0.2605313743349694,nan
legacy,C3,Ethanol,25.0,67,3.144641314641016,2.360791667545571,0.015772392943813038,nan
legacy,C3,Ethanol,37.5,67,4.875261998910955,4.162768148670354,4.041225284073962,nan
legacy,C3,Ethanol,50.0,67,6.452329436859524,5.672421478059429,5.623584943246398,nan
legacy,C3,Ethanol,62.5,67,5.767958781734154,4.833076702641875,4.784808893426888,nan
legacy,C3,Ethanol,75.0,67,5.371210080898818,4.435442617022315,3.081229731720094,nan
legacy,C3,Ethanol,87.5,67,4.032023532862674,3.4551991596693923,1.3472264199685284,nan
legacy,C3,Ethanol,100.0,67,4.458918924703663,3.5179142766788782,-0.62804719534743,nan
legacy,C3,Ethanol,112.5,67,6.037590627437057,5.05432248638219,-4.080205374601452,nan
legacy,C3,Ethanol,125.0,67,6.921760709326059,5.840860251646709,-5.840860251646709,nan
legacy,C3,Ethylene,12.5,67,2.1862864264430866,0.5401909654137865,0.5401909654137865,nan
legacy,C3,Ethylene,25.0,67,5.480537147288299,4.200473291217792,2.550389353322895,nan
legacy,C3,Ethylene,37.5,67,4.694993318029804,3.753733663960698,3.118546598865061,nan
legacy,C3,Ethylene,50.0,67,8.24808484468173,4.862172732919545,2.0713452993019024,nan
legacy,C3,Ethylene,62.5,67,7.0712568496245645,4.627951952782787,3.9846772250590736,nan
legacy,C3,Ethylene,75.0,67,5.443422344901032,3.6133915907168173,1.2620918468477407,nan
legacy,C3,Ethylene,87.5,67,7.064508811848199,4.684161840390286,0.9792886942869711,nan
legacy,C3,Ethylene,100.0,67,6.848567978713903,3.7617598639060428,-2.0579621945216298,nan
