method,target_coverage,threshold,calibration_retained_N,accepted_N,test_N,actual_coverage,target_test_used_for_selection,curve_rule,N,RMSE,MAE,NRMSE_range,Bias,R2,misroute_events,misroute_capture_rate,misroute_accepted_rate,error_ge_40ppm_events,error_ge_40ppm_capture_rate,error_ge_40ppm_accepted_rate,top5pct_error_events,top5pct_error_capture_rate,top5pct_error_accepted_rate,methane225_repeat1_events,methane225_repeat1_capture_rate,methane225_repeat1_accepted_rate,RMSE_p025,RMSE_p975,MAE_p025,MAE_p975,NRMSE_range_p025,NRMSE_range_p975
Q0_random,0.6,random_exact_count,,816,1360,0.6,False,,,28.034066064306202,10.706075897203828,0.19933923846151763,,,32,0.39984375,0.02353553921568628,48,0.3974375,0.03544485294117646,68,0.39963235294117644,0.05003063725490196,17,0.4000588235294117,0.012498774509803922,23.492695211072483,31.782673041821532,9.562198157674514,11.822810345038057,0.15620552683915745,0.23414157908933453
Q0_random,0.65,random_exact_count,,884,1360,0.65,False,,,27.974369241363952,10.690278965640635,0.19823768738585296,,,32,0.34825,0.023592760180995473,48,0.35025,0.035280542986425335,68,0.3497647058823529,0.05001809954751132,17,0.3448823529411765,0.01259841628959276,23.978111103550248,31.356226814950254,9.630597027476105,11.651888203350216,0.16129942088336366,0.23102865712480616
Q0_random,0.7,random_exact_count,,952,1360,0.7,False,,,28.008010268246487,10.68347920984259,0.1991227936968461,,,32,0.3019375,0.023464285714285715,48,0.3027916666666667,0.035153361344537816,68,0.3041470588235294,0.049703781512605044,17,0.2965882352941176,0.012560924369747902,24.387831205463772,31.043335079756886,9.737129266367399,11.545655924386814,0.1634026694365977,0.2261550784111835
Q0_random,0.75,random_exact_count,,1020,1360,0.75,False,,,27.982571748267716,10.685475244527874,0.1990999182020815,,,32,0.24878125,0.02356764705882353,48,0.24958333333333335,0.035313725490196075,68,0.25022058823529414,0.04998529411764707,17,0.2524705882352941,0.012458823529411765,24.69275635966302,30.574374058950074,9.857669156141798,11.403764854932252,0.16774038052903678,0.22386579658492473
Q0_random,0.8,random_exact_count,,1088,1360,0.8,False,,,28.00305543897935,10.686161815429282,0.1989538283877397,,,32,0.199375,0.023547794117647063,48,0.202375,0.03518933823529412,68,0.20089705882352943,0.049943933823529414,17,0.1988235294117647,0.012518382352941176,25.392105275536792,30.103195546046624,9.969632078482427,11.314199044344955,0.17401020436831785,0.21854695299056498
Q0_random,0.85,random_exact_count,,1156,1360,0.85,False,,,27.987910605176438,10.683352139582713,0.19888437343191334,,,32,0.153,0.02344636678200692,48,0.1500625,0.03529152249134948,68,0.15,0.05,17,0.15029411764705883,0.012495674740484429,25.743210389122776,29.790921477958097,10.093009934744114,11.205115944240806,0.17559484351270524,0.21441816134205502
Q0_random,0.9,random_exact_count,,1224,1360,0.9,False,,,28.011555839531916,10.683912430433114,0.19919260542120903,,,32,0.10046875,0.023517156862745095,48,0.10177083333333334,0.035224673202614375,68,0.101,0.04994444444444446,17,0.09911764705882353,0.012512254901960784,26.083729410259256,29.32546548091392,10.188531962718836,11.0859045388842,0.18071325792163148,0.20961558210543532
Q0_random,0.95,random_exact_count,,1292,1360,0.95,False,,,28.023452506307926,10.683929538309279,0.19936647422719148,,,32,0.05221875,0.023474458204334362,48,0.05102083333333333,0.0352561919504644,68,0.05123529411764706,0.04993498452012385,17,0.050705882352941184,0.012490712074303406,26.528641256303,28.705813911364984,10.313187686619024,10.936440978252875,0.18496767461000307,0.20460727803680814
Q0_random,0.975,random_exact_count,,1326,1360,0.975,False,,,28.041274426086087,10.69010167362168,0.19957850330733817,,,32,0.0251875,0.023524886877828055,48,0.024395833333333332,0.03531598793363499,68,0.024029411764705882,0.05004977375565613,17,0.026235294117647058,0.012484162895927603,26.94362449760443,28.392634456567766,10.406162187909315,10.840346974746948,0.1898012867896683,0.20216725245349407
Q0_random,1.0,random_exact_count,,1360,1360,1.0,False,,,28.057496229689654,10.691170586712389,0.19972727686326155,,,32,0.0,0.023529411764705892,48,0.0,0.03529411764705881,68,0.0,0.05000000000000001,17,0.0,0.012500000000000002,28.057496229689647,28.057496229689647,10.691170586712394,10.691170586712394,0.19972727686326158,0.19972727686326158
