replicate,sampled_file_count,sampled_window_count,a4_minus_a0t_rmse,a4_minus_a0t_mean_excess_squared_error
1568,80,1366,-1.3731971044876339,-49.7475747777908
1569,80,1355,-2.152442158413752,-82.0702034686413
1570,80,1355,-3.5056449422391083,-148.382651040527
1571,80,1354,2.253409305548633,78.662477466242
1572,80,1356,-3.546228851612465,-180.38750261198314
1573,80,1348,-9.211526506563505,-361.53103038373865
1574,80,1377,-7.48354847669021,-382.95376452513045
1575,80,1348,-5.0521005284366325,-219.1112958183434
1576,80,1357,-3.308576909579653,-142.2743322723669
1577,80,1334,-14.646131121069873,-665.4976745514228
1578,80,1364,-0.5006956318992835,-19.391486856651
1579,80,1381,1.9216738768894572,71.86922136413136
1580,80,1360,-2.8077486795583404,-105.82133613638271
1581,80,1383,-0.655374006359839,-22.29592747141652
1582,80,1353,-2.2162225785107523,-82.00307973773525
1583,80,1373,-6.22590009220457,-203.76303993235058
1584,80,1357,-10.77812608057155,-516.7659868263271
1585,80,1371,-5.9449383985234086,-237.75409292728995
1586,80,1368,-1.6862462525470612,-60.28120754675503
1587,80,1363,-14.45737522436339,-614.1468417582324
1588,80,1375,2.477952963077957,74.32684637600487
1589,80,1347,-1.8747821391554318,-75.31295243123377
1590,80,1366,-3.4931696461356765,-155.22331808616593
1591,80,1375,-4.334492722424589,-175.37516382748538
1592,80,1368,-0.5021113823763486,-18.595349605841278
1593,80,1355,-4.96477143278203,-252.46677625671714
1594,80,1345,-6.416064285150643,-272.6107080943994
1595,80,1365,-10.18112242065865,-466.50575987252626
1596,80,1362,-3.4411820055674447,-141.70613058729785
1597,80,1366,-6.72269835769638,-270.6129125159181
1598,80,1358,3.041576240081792,110.69646337288076
1599,80,1379,0.5886560588524148,18.034543283718758
1600,80,1340,-4.33786119369519,-176.58263899580055
1601,80,1361,-3.391341137438868,-160.392604827915
1602,80,1357,2.5319452715442665,101.06756028524566
1603,80,1355,-6.576105879967404,-252.52948874637787
1604,80,1367,-5.596699150373823,-227.63441922268936
1605,80,1376,-0.18532659688860065,-6.017344844937966
1606,80,1332,-2.789525743217709,-127.77013223016607
1607,80,1345,3.362125050170956,149.46667837670302
1608,80,1379,-1.2203881928897786,-54.57765486834944
1609,80,1348,-7.687564328546586,-327.96012543752056
1610,80,1359,4.52140444296516,167.29842016978833
1611,80,1384,2.311746872340958,97.13020026704248
1612,80,1359,-6.134382233536115,-241.47245586765723
1613,80,1345,-2.461399016187837,-88.38769031693359
1614,80,1378,-8.584971534663172,-372.74393334659834
1615,80,1374,-0.7690721231750608,-29.102325371922632
1616,80,1380,-10.417132479699761,-392.47862274096633
1617,80,1368,4.389056613242564,145.9211849288082
1618,80,1368,-2.2857536013336066,-75.98588225415514
1619,80,1366,-2.72177692302229,-90.23400274673251
1620,80,1328,-1.5449616625042282,-56.75953628048882
1621,80,1346,-4.662572826101819,-185.26390998849016
1622,80,1348,-2.4690196825670796,-93.62312686530679
1623,80,1355,2.238048995037346,77.0124006208139
1624,80,1362,-7.878969872231307,-303.4384148446026
1625,80,1382,-3.4591446700408035,-163.9000084119942
1626,80,1339,-2.172729423894289,-73.52257336635975
1627,80,1361,1.4256953649988944,57.97377234249558
1628,80,1365,-6.594623876256005,-276.1188647284207
1629,80,1340,-0.46277929137924545,-15.509931085249804
1630,80,1388,-2.2645031309776797,-92.7813720653148
1631,80,1367,-1.8415167385146702,-69.42040141601268
1632,80,1351,-6.296596655967772,-300.24630335718984
1633,80,1381,-7.806650739224361,-287.88583392995315
1634,80,1350,-4.230541598832776,-188.49822063028267
1635,80,1359,0.5880858263000661,20.731016545916873
1636,80,1356,-0.6578076081665181,-30.97767704994868
1637,80,1365,-1.3161565599397527,-53.087607505754306
1638,80,1360,-0.2602051347688139,-10.016032020177363
1639,80,1364,-3.428910744777097,-116.82806210360435
1640,80,1364,-4.901734368920128,-238.02704847698618
1641,80,1354,2.32624594201328,84.77937497411796
1642,80,1352,-6.951863565183647,-326.72084674026866
1643,80,1343,-4.75308000138666,-197.4094662715073
1644,80,1355,-1.2936887951632094,-49.9144911954066
1645,80,1361,-4.0335561450710955,-160.48324012719013
1646,80,1354,-9.235113441196138,-426.0234801577986
1647,80,1331,-3.8319263617691632,-148.66323439196037
1648,80,1351,-7.841850309065823,-401.14139194560084
1649,80,1370,3.327668125222159,114.18210685727956
1650,80,1377,-4.330821994532876,-204.09221731012877
1651,80,1377,-6.520376013967933,-292.6418065526443
1652,80,1353,-7.9708058296796125,-326.87214216787135
1653,80,1365,-3.1408103736599955,-122.46643963799379
1654,80,1355,-1.293894785771755,-53.48074171789682
1655,80,1358,-12.373114826927992,-514.2656304578996
1656,80,1355,-6.721916492070541,-280.78514781109715
1657,80,1352,-2.343382897492031,-95.5000406431717
1658,80,1368,-4.814393382630577,-217.88873683559288
1659,80,1355,-6.8949305914965535,-277.55127616791975
1660,80,1355,-3.125755123895047,-106.21182077157232
1661,80,1338,-9.58440056465653,-457.1364371673952
1662,80,1374,1.7312082371564887,54.09101984302085
1663,80,1349,-9.451165695289006,-400.00607802713154
1664,80,1364,-7.265662232339746,-357.6928291738735
1665,80,1343,-3.154943462261123,-129.95365760638632
1666,80,1379,-8.089059462123071,-353.72283806089484
1667,80,1351,-8.062182722287993,-363.41032243413036
1668,80,1359,-0.337967204965576,-11.319232271718434
1669,80,1349,-9.70636652805699,-563.6567619973537
1670,80,1353,-7.297191055548595,-309.37788623832
1671,80,1365,-4.209415487369718,-174.797860318849
1672,80,1348,-0.003455925435659424,-0.13984238163666873
1673,80,1357,-3.0793489018977205,-128.76524859855041
1674,80,1367,-6.331895040197232,-259.44015902090354
1675,80,1357,-8.890748090613254,-376.9574236178913
1676,80,1381,-3.314765589687209,-129.06143484508917
1677,80,1353,-1.3874430275580671,-64.1702072101971
1678,80,1354,-5.703400653654446,-192.02393542666442
1679,80,1379,-0.48256395379706163,-18.734727146982834
1680,80,1362,-11.374982682705927,-553.019594035598
1681,80,1362,-0.6465783913450274,-28.895333226303052
1682,80,1354,-0.9203240531064907,-38.77750236018352
1683,80,1357,-1.0797007935415408,-53.46336094638619
1684,80,1359,-14.064021700847336,-566.1544403979425
1685,80,1341,0.582395688949255,22.749195534869273
1686,80,1372,-5.099067959520891,-236.15606154275272
1687,80,1360,-0.11240839641831712,-4.544109974897566
1688,80,1367,-0.4126061296231107,-19.295041327829523
1689,80,1363,-4.316780309561832,-215.55004072643905
1690,80,1378,3.322069685891986,138.67279295661984
1691,80,1352,-0.5271186012301037,-17.746043541211563
1692,80,1354,-4.038113090160891,-207.072778518691
1693,80,1382,-7.501460467000388,-282.6545471216629
1694,80,1355,-1.472733416328687,-62.814582214478605
1695,80,1362,-7.020565590327875,-227.94420836081326
1696,80,1364,-6.847619123522801,-303.40779493412543
1697,80,1375,-2.4690101470099926,-90.08782202769082
1698,80,1358,-5.535211454333238,-202.4910183721106
1699,80,1357,-5.128204696820777,-246.06925905122955
1700,80,1367,-8.515938967164683,-390.82251960436366
1701,80,1357,-3.7698252126977465,-155.9357226395187
1702,80,1372,-2.941574888331152,-101.04868265929856
1703,80,1358,-7.92299537712918,-351.54060372522576
1704,80,1356,-4.712622364916001,-144.0370885406114
1705,80,1366,0.9654174399918638,34.44262287499099
1706,80,1360,-3.8003906491425745,-153.18667955853212
1707,80,1349,-5.34233074100484,-238.85489156308358
1708,80,1360,3.3886806379174104,120.4870619477366
1709,80,1365,-10.271537086891016,-504.05830074154335
1710,80,1384,-1.6104325499509287,-67.0914197750597
1711,80,1349,-9.564475350755515,-394.01091348937257
1712,80,1372,3.5602209035137946,111.82694966469393
1713,80,1367,-7.689781838199462,-323.1560390211306
1714,80,1374,-4.956139956528112,-179.37685704450803
1715,80,1379,-1.9675569024475905,-69.00642700758858
1716,80,1359,-0.24445157864642653,-9.671603838800507
1717,80,1337,0.7146520399132932,24.48365797230238
1718,80,1365,-3.163435836632889,-119.5615502077799
1719,80,1345,-5.333857425676584,-233.11147950655928
1720,80,1339,-11.016883136431648,-542.5366240467006
1721,80,1359,-0.3883123709379248,-15.487598276051386
1722,80,1357,-0.154923984839602,-6.353518489433668
1723,80,1371,-0.20197228689539415,-8.227343321627131
1724,80,1347,-10.227562217231615,-457.196915901532
1725,80,1347,-0.44171455513819424,-16.178503895238606
1726,80,1356,-0.8606397083333377,-36.255044008847676
1727,80,1350,-5.777886303156638,-239.6410626505699
1728,80,1381,-0.771670800085456,-30.717780405927783
1729,80,1359,-0.25104186949295837,-9.943030346027797
1730,80,1364,-4.792892076418283,-249.90439091466868
1731,80,1359,-0.7420891619500054,-31.51228744137923
1732,80,1355,-4.485029965005907,-164.99847978292365
1733,80,1371,0.17639162608467984,6.864837030929621
1734,80,1348,-0.45742284434308544,-15.366976335874426
1735,80,1360,-1.3408253889768282,-45.249516590299066
1736,80,1357,-1.17106745511769,-40.137359767537234
1737,80,1351,-2.610424970021622,-105.05637904203451
1738,80,1363,-7.2479493477046315,-277.12600729437924
1739,80,1365,-6.512176186376735,-266.8599213249506
1740,80,1368,-6.375822521131532,-268.2189886657476
1741,80,1366,0.2647856161622606,10.265040381089847
1742,80,1344,-2.7305367425583498,-107.4714113835704
1743,80,1333,-2.6453747339111793,-98.63767466898128
1744,80,1362,-7.2712285071884235,-241.13826503425673
1745,80,1377,-2.4708139652500165,-104.80478571991442
1746,80,1353,-11.282615288499631,-529.5154947553465
1747,80,1365,-1.8986287328498896,-63.90668246581488
1748,80,1360,-5.796537304149908,-247.83892477496383
1749,80,1349,-7.185353453113745,-331.3469363050427
1750,80,1360,-8.267794183548041,-355.2663158002906
1751,80,1343,-0.997550364117032,-47.738549474152194
1752,80,1365,-0.39758549514018426,-17.442196318020535
1753,80,1364,-11.196949789473141,-528.3953997244369
