replicate,sampled_raw_file_count,sampled_window_count,cost_minus_argmax_rmse
525,80,1379,1.549605094625928
526,80,1377,0.3409340127773426
527,80,1345,0.7061334645815762
528,80,1364,2.1759087049733132
529,80,1355,1.7035819671129566
530,80,1354,-0.5301651329011108
531,80,1335,4.129347457891434
532,80,1361,0.045448700159031574
533,80,1361,2.1152000887270326
534,80,1382,0.46475519659120934
535,80,1341,-1.0936891679074776
536,80,1376,1.4406573902218298
537,80,1357,-1.605648553614163
538,80,1348,0.48207816378661406
539,80,1347,2.4411922878929637
540,80,1356,-1.0564586719345037
541,80,1354,-0.15592099319470165
542,80,1374,0.9349452172689254
543,80,1374,-1.365014569571585
544,80,1339,3.464510066290188
545,80,1356,0.1486301574074389
546,80,1368,-0.044413812514818574
547,80,1337,-0.14909264688136759
548,80,1362,0.6469604111450948
549,80,1356,-0.3190117088999713
550,80,1379,-2.746317522913735
551,80,1357,1.4823328245312943
552,80,1382,-2.0297948431169104
553,80,1363,1.668406833123246
554,80,1324,2.058591797279796
555,80,1361,1.5686709311308142
556,80,1339,-0.3429773137946306
557,80,1336,0.9206789595829648
558,80,1365,1.163011982014254
559,80,1355,3.553253646410809
560,80,1375,1.412815746115342
561,80,1345,0.5759544303484745
562,80,1359,0.186013203311596
563,80,1352,-1.271848322763077
564,80,1352,-1.121451453134835
565,80,1343,0.8488517839467598
566,80,1366,2.8155497052280793
567,80,1374,-2.0274746235118855
568,80,1366,0.07665326335321154
569,80,1364,-0.07827888757525514
570,80,1367,-0.9452002240310833
571,80,1339,-0.7018394746411012
572,80,1341,1.860134425797014
573,80,1360,1.3508776602018528
574,80,1385,0.7045868876988841
575,80,1380,-0.2400613211454541
576,80,1344,2.1409860771571196
577,80,1345,-1.3338154901270443
578,80,1366,0.42648275328101803
579,80,1357,-1.8466437911525908
580,80,1365,0.024121844361136624
581,80,1371,2.6031136184234285
582,80,1342,-0.3230258738341547
583,80,1382,-0.5809359724781054
584,80,1355,1.516212373812479
585,80,1366,1.2825706810538833
586,80,1357,0.07251009925580476
587,80,1353,0.68472579824763
588,80,1366,0.3129747991152385
589,80,1363,-1.0958685813084408
590,80,1361,3.068052969350365
591,80,1347,1.510906354458431
592,80,1356,4.197315786815469
593,80,1366,-1.9398771561692314
594,80,1371,0.6173714696311521
595,80,1354,3.0811748633477514
596,80,1365,1.2134318310258685
597,80,1361,0.07087000539930699
598,80,1369,0.46309911741329657
599,80,1364,-1.2009388239391683
600,80,1354,1.218465430289612
601,80,1359,2.466852936429081
602,80,1350,-0.15005989628620853
603,80,1362,0.09371355401872705
604,80,1352,0.20979051507251256
605,80,1361,0.4522446110937324
606,80,1371,2.022918745987255
607,80,1337,-0.3120062966663859
